"CIF"
"31077326"
"50300652"
"5532075"
"3716008"
"2399047"
"4825590"
"231713"
"3759764"
"4251848"
"3801593"
"31897372"
"1735765"
"47239516"
"17739428"
"27776285"
"4342278"
"14978927"
"39111400"
"100778"
"2880637"
"42882099"
"8743143"
"20817639"
"81534"
"10527843"
"40855122"
"4399671"
"8794994"
"38965869"
"26561642"
"43334483"
"2799481"
"30726277"
"41591447"
"241987"
"194511"
"4506617"
"6629494"
"18163726"
"26098147"
"3963601"
"1252404"
